Unnamed: 0,latitude,longitude,event_cause,requires_road_closure,priority,police_station,incident_duration_min,day_of_week,is_weekend,time_of_day_category,spatial_risk_score,encoded_event_cause,encoded_time_of_day,start_time,effective_end_time_only,event_severity_score,junction,junction_incident_count,zone,zone_incident_count,road_closure_risk,incident_duration_min_clipped,event_severity_score_scaled,junction_incident_count_scaled,zone_incident_count_scaled,incident_duration_min_scaled,road_closure_risk_scaled,congestion_risk_score,congestion_risk_level,is_compound_incident,peak_hour_flag,incident_duration_min_clipped_scaled
0,13.0400041,77.5180991,vehicle_breakdown,False,High,Peenya,153.99601163333332,3,0,evening_peak,16.807347233856007,14,0,17:01:48.111000,19:35:47.871698,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,153.99601163333332,0.125,0.0,0.0,0.6413042606481452,0.0,27.99,Low,1,1,0.6413042606481452
1,12.9218755,77.6451585,vehicle_breakdown,False,High,HSR Layout,10.37758925,1,0,night,4.819582068957482,14,3,04:07:24.173000,04:17:46.828355,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,10.37758925,0.125,0.0,0.0,0.0423167348405284,0.0,10.02,Low,1,0,0.04231673484052845
2,12.955622,77.5857083,others,False,Low,Wilson Garden,126.52872176666668,5,1,night,6.887823379255868,6,3,06:18:03.343000,04:56:03.281509,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,126.52872176666668,0.25,0.0,0.0,0.5267467844912105,0.0,26.64,Low,0,0,0.5267467844912105
3,13.0061469,77.5794348,tree_fall,True,Low,Sadashivanagar,126.52872176666668,3,0,evening_peak,7.024503661462404,13,0,17:56:55.061000,07:42:05.549440,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,126.52872176666668,0.25,0.0,0.0,0.5267467844912105,0.0,26.64,Low,0,1,0.5267467844912105
4,12.95398,77.5852333,vehicle_breakdown,False,Low,Wilson Garden,38.74983805,1,0,night,8.976492165108048,14,3,04:56:32.348000,05:35:17.338283,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,38.74983805,0.125,0.0,0.0,0.1606485116995556,0.0,13.57,Low,1,0,0.16064851169955568
5,13.0664854,77.5998755,accident,False,Low,Hebbala,88.34914565000001,1,0,night,3.8978457644425153,2,3,03:07:27.292421,04:35:48.241160,80.0,Unknown,8173,Unknown,8173,0.08271136669521595,88.34914565000001,0.75,0.0,0.0,0.3675117124510398,0.0,63.53,High,1,0,0.36751171245103986
6,12.9328703,77.4879814,vehicle_breakdown,False,Low,Kengeri,129.3528978,1,0,morning_peak,6.069094325488045,14,2,07:26:26.739000,09:35:47.912868,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,129.3528978,0.125,0.0,0.0,0.5385255395184473,0.0,24.91,Low,1,1,0.5385255395184473
7,12.973175,77.6003961,others,False,Low,Cubbon Park,126.52872176666668,1,0,night,5.249858774535857,6,3,06:05:59.339000,01:28:18.330429,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,126.52872176666668,0.25,0.0,0.0,0.5267467844912105,0.0,26.64,Low,0,0,0.5267467844912105
8,12.97883573,77.59953728,public_event,False,High,Cubbon Park,126.52872176666668,0,0,midday_offpeak,8.326781851458934,10,1,,14:05:46.017066,85.0,Unknown,8173,Unknown,8173,0.08271136669521595,126.52872176666668,0.8125,0.0,0.0,0.5267467844912105,0.0,58.14,High,0,0,0.5267467844912105
9,13.0373543,77.6540442,vehicle_breakdown,False,Low,Hennuru,129.9647537,1,0,night,5.371535344824831,14,3,05:25:50.078000,07:35:47.963222,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,129.9647537,0.125,0.0,0.0,0.5410773991309528,0.0,24.98,Low,1,0,0.5410773991309528
10,13.0008457,77.6813712,water_logging,False,High,K.R. Pura,126.52872176666668,3,0,evening_peak,6.7883203129973975,16,0,18:01:40.182000,05:49:58.160945,70.0,Unknown,8173,Unknown,8173,0.08271136669521595,126.52872176666668,0.625,0.0,0.0,0.5267467844912105,0.0,47.64,Medium,0,1,0.5267467844912105
11,12.94457,77.5274017,vehicle_breakdown,False,High,Byatarayanapura,134.68293345,1,0,night,7.107371348617081,14,3,05:21:06.975000,07:35:47.951007,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,134.68293345,0.125,0.0,0.0,0.5607554513464608,0.0,25.57,Low,1,0,0.5607554513464608
12,12.9995223,77.6827499,water_logging,False,High,Mahadevapura,94.2059097,3,0,evening_peak,4.10524516480386,16,0,18:00:05.020000,19:34:17.374582,70.0,Unknown,8173,Unknown,8173,0.08271136669521595,94.2059097,0.625,0.0,0.0,0.3919384437110791,0.0,55.51,High,1,1,0.3919384437110791
13,13.0418933,77.594705,others,False,High,Hebbala,126.52872176666668,1,0,evening_peak,4.683947522412872,6,0,19:15:28.124000,19:10:20.402869,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,126.52872176666668,0.25,0.0,0.0,0.5267467844912105,0.0,26.64,Low,0,1,0.5267467844912105
14,12.975285,77.6256902,pot_holes,False,High,Halasur,5.938111783333333,3,0,evening_peak,8.208796532873603,7,0,19:26:15.604000,19:32:11.890707,20.0,Unknown,8173,Unknown,8173,0.08271136669521595,5.938111783333333,0.0,0.0,0.0,0.0238010626899205,0.0,0.71,Low,1,1,0.023801062689920507
15,13.0633917,77.5933483,others,False,High,Kodigehalli,1.4639476333333334,3,0,evening_peak,2.438715291835971,6,0,19:10:21.930000,19:11:49.766858,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,1.4639476333333334,0.25,0.0,0.0,0.0051407232307353,0.0,17.65,Low,1,1,0.005140723230735331
16,13.063425,77.5933,others,False,High,Kodigehalli,5.486051616666667,3,0,evening_peak,2.438715291835971,6,0,19:11:15.565000,19:16:44.728097,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,5.486051616666667,0.25,0.0,0.0,0.021915661108046,0.0,18.16,Low,1,1,0.02191566110804609
17,13.0254527,77.6417388,others,False,High,Hennuru,10.44971145,3,0,evening_peak,1.1392753655602177,6,0,19:18:29.890000,19:28:56.872687,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,10.44971145,0.25,0.0,0.0,0.0426175339818704,0.0,18.78,Low,1,1,0.042617533981870466
18,12.9233517,77.5904883,tree_fall,False,Low,Jayanagara,293.3450075,3,0,evening_peak,7.474278100610832,13,0,19:39:29.764000,00:32:50.464450,40.0,Unknown,8173,Unknown,8173,0.08271136669521595,240.0,0.25,0.0,0.0,1.0,0.0,38.0,Medium,0,1,1.0
19,13.0001393,77.5840594,vehicle_breakdown,False,High,Sadashivanagar,166.51155088333334,1,0,night,19.08950684284055,14,3,04:49:17.231000,07:35:47.924053,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,166.51155088333334,0.125,0.0,0.0,0.6935026608610109,0.0,29.56,Low,1,0,0.6935026608610109
20,12.9071221,77.6286395,vehicle_breakdown,False,High,Madiwala,27.2487523,3,0,evening_peak,8.782948238845778,14,0,19:25:04.302000,19:52:19.227138,30.0,Unknown,8173,Unknown,8173,0.08271136669521595,27.2487523,0.125,0.0,0.0,0.1126810797839883,0.0,12.13,Low,1,1,0.11268107978398832
